No,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude,Y house price of unit area
37,2012.917,14.7,1935.009,2,24.96386,121.51458,22.9
38,2013.167,12,1360.139,1,24.95204,121.54842,25.3
39,2012.667,3.1,577.9615,6,24.97201,121.54722,47.7
40,2013.167,16.2,289.3248,5,24.98203,121.54348,46.2
41,2013.000,13.6,4082.015,0,24.94155,121.50381,15.9
42,2013.500,16.8,4066.587,0,24.94297,121.50342,18.2
43,2013.417,36.1,519.4617,5,24.96305,121.53758,34.7
44,2012.750,34.4,512.7871,6,24.98748,121.54301,34.1
45,2013.583,2.7,533.4762,4,24.97445,121.54765,53.9
46,2013.083,36.6,488.8193,8,24.97015,121.54494,38.3
47,2013.417,21.7,463.9623,9,24.9703,121.54458,42
48,2013.583,35.9,640.7391,3,24.97563,121.53715,61.5
49,2013.417,24.2,4605.749,0,24.94684,121.49578,13.4
50,2012.667,29.4,4510.359,1,24.94925,121.49542,13.2
51,2013.417,21.7,512.5487,4,24.974,121.53842,44.2
52,2013.083,31.3,1758.406,1,24.95402,121.55282,20.7
53,2013.583,32.1,1438.579,3,24.97419,121.5175,27
54,2013.083,13.3,492.2313,5,24.96515,121.53737,38.9
55,2013.083,16.1,289.3248,5,24.98203,121.54348,51.7
56,2012.833,31.7,1160.632,0,24.94968,121.53009,13.7
57,2013.417,33.6,371.2495,8,24.97254,121.54059,41.9
58,2012.917,3.5,56.47425,7,24.95744,121.53711,53.5
59,2013.500,30.3,4510.359,1,24.94925,121.49542,22.6
60,2013.083,13.3,336.0532,5,24.95776,121.53438,42.4
61,2013.417,11,1931.207,2,24.96365,121.51471,21.3
62,2013.500,5.3,259.6607,6,24.97585,121.54516,63.2
63,2012.917,17.2,2175.877,3,24.96303,121.51254,27.7
64,2013.583,2.6,533.4762,4,24.97445,121.54765,55
65,2013.333,17.5,995.7554,0,24.96305,121.54915,25.3
66,2013.417,40.1,123.7429,8,24.97635,121.54329,44.3
67,2013.000,1,193.5845,6,24.96571,121.54089,50.7
68,2013.500,8.5,104.8101,5,24.96674,121.54067,56.8
69,2013.417,30.4,464.223,6,24.97964,121.53805,36.2
70,2012.833,12.5,561.9845,5,24.98746,121.54391,42
71,2013.583,6.6,90.45606,9,24.97433,121.5431,59
72,2013.083,35.5,640.7391,3,24.97563,121.53715,40.8
73,2013.583,32.5,424.5442,8,24.97587,121.53913,36.3
74,2013.167,13.8,4082.015,0,24.94155,121.50381,20
75,2012.917,6.8,379.5575,10,24.98343,121.53762,54.4
76,2013 ...snip... .8895,0,24.97281,121.53265,42.9
342,2013.000,13,750.0704,2,24.97371,121.54951,37
343,2012.667,5.7,90.45606,9,24.97433,121.5431,53.5
344,2013.000,33.5,563.2854,8,24.98223,121.53597,46.6
345,2013.500,34.6,3085.17,0,24.998,121.5155,41.2
346,2012.667,0,185.4296,0,24.9711,121.5317,37.9
347,2013.417,13.2,1712.632,2,24.96412,121.5167,30.8
348,2013.583,17.4,6488.021,1,24.95719,121.47353,11.2
349,2012.833,4.6,259.6607,6,24.97585,121.54516,53.7
350,2012.750,7.8,104.8101,5,24.96674,121.54067,47
351,2013.000,13.2,492.2313,5,24.96515,121.53737,42.3
352,2012.833,4,2180.245,3,24.96324,121.51241,28.6
353,2012.833,18.4,2674.961,3,24.96143,121.50827,25.7
354,2013.500,4.1,2147.376,3,24.96299,121.51284,31.3
355,2013.417,12.2,1360.139,1,24.95204,121.54842,30.1
356,2013.250,3.8,383.8624,5,24.98085,121.54391,60.7
357,2012.833,10.3,211.4473,1,24.97417,121.52999,45.3
358,2013.417,0,338.9679,9,24.96853,121.54413,44.9
359,2013.167,1.1,193.5845,6,24.96571,121.54089,45.1
360,2013.500,5.6,2408.993,0,24.95505,121.55964,24.7
361,2012.667,32.9,87.30222,10,24.983,121.54022,47.1
362,2013.083,41.4,281.205,8,24.97345,121.54093,63.3
363,2013.417,17.1,967.4,4,24.98872,121.53408,40
364,2013.500,32.3,109.9455,10,24.98182,121.54086,48
365,2013.417,35.3,614.1394,7,24.97913,121.53666,33.1
366,2012.917,17.3,2261.432,4,24.96182,121.51222,29.5
367,2012.750,14.2,1801.544,1,24.95153,121.55254,24.8
368,2012.833,15,1828.319,2,24.96464,121.51531,20.9
369,2013.417,18.2,350.8515,1,24.97544,121.53119,43.1
370,2012.667,20.2,2185.128,3,24.96322,121.51237,22.8
371,2012.750,15.9,289.3248,5,24.98203,121.54348,42.1
372,2013.500,4.1,312.8963,5,24.95591,121.53956,51.7
373,2013.000,33.9,157.6052,7,24.96628,121.54196,41.5
374,2013.083,0,274.0144,1,24.9748,121.53059,52.2
375,2013.250,5.4,390.5684,5,24.97937,121.54245,49.5
376,2013.250,21.7,1157.988,0,24.96165,121.55011,23.8
377,2013.417,14.7,1717.193,2,24.96447,121.51649,30.5
378,2013.333,3.9,49.66105,8,24.95836,121.53756,56.8
379,2013.333,37.3,587.8877,8,24.97077,121.54634,37.4
380,2013.333,0,292.9978,6,24.97744,121.54458,69.7
381,2013.333,14.1,289.3248,5,24.98203,121.54348,53.3
382,2013.417,8,132.5469,9,24.98298,121.53981,47.3
383,2013.000,16.3,3529.564,0,24.93207,121.51597,29.3
384,2012.667,29.1,506.1144,4,24.97845,121.53889,40.3
385,2012.750,16.1,4066.587,0,24.94297,121.50342,12.9
386,2013.000,18.3,82.88643,10,24.983,121.54026,46.6
387,2012.833,0,185.4296,0,24.9711,121.5317,55.3
388,2013.250,16.2,2103.555,3,24.96042,121.51462,25.6
389,2013.500,10.4,2251.938,4,24.95957,121.51353,27.3
390,2013.250,40.9,122.3619,8,24.96756,121.5423,67.7
391,2013.500,32.8,377.8302,9,24.97151,121.5435,38.6
392,2013.583,6.2,1939.749,1,24.95155,121.55387,31.3
393,2013.083,42.7,443.802,6,24.97927,121.53874,35.3
394,2013.000,16.9,967.4,4,24.98872,121.53408,40.3
395,2013.500,32.6,4136.271,1,24.95544,121.4963,24.7
396,2012.917,21.2,512.5487,4,24.974,121.53842,42.5
397,2012.667,37.1,918.6357,1,24.97198,121.55063,31.9
398,2013.417,13.1,1164.838,4,24.99156,121.53406,32.2
399,2013.417,14.7,1717.193,2,24.96447,121.51649,23
400,2012.917,12.7,170.1289,1,24.97371,121.52984,37.3
401,2013.250,26.8,482.7581,5,24.97433,121.53863,35.5
402,2013.083,7.6,2175.03,3,24.96305,121.51254,27.7
403,2012.833,12.7,187.4823,1,24.97388,121.52981,28.5
404,2012.667,30.9,161.942,9,24.98353,121.53966,39.7
405,2013.333,16.4,289.3248,5,24.98203,121.54348,41.2
406,2012.667,23,130.9945,6,24.95663,121.53765,37.2
407,2013.167,1.9,372.1386,7,24.97293,121.54026,40.5
408,2013.000,5.2,2408.993,0,24.95505,121.55964,22.3
409,2013.417,18.5,2175.744,3,24.9633,121.51243,28.1
410,2013.000,13.7,4082.015,0,24.94155,121.50381,15.4
411,2012.667,5.6,90.45606,9,24.97433,121.5431,50
412,2013.250,18.8,390.9696,7,24.97923,121.53986,40.6
413,2013.000,8.1,104.8101,5,24.96674,121.54067,52.5
414,2013.500,6.5,90.45606,9,24.97433,121.5431,63.9
